
:Description: 
:Desc_PDOS: Projected density of states for each orbital. Unit=states/eV
:Desc_FERMI_LEVEL: Fermi level energy. Unit=eV
:Desc_BROADENING: Gaussian broadening parameter for DOS calculation. Unit=eV
:Desc_GRID_POINTS: Number of energy grid points for PDOS calculation
:Desc_MIN_E: Minimum energy for PDOS calculation. Unit=eV
:Desc_MAX_E: Maximum energy for PDOS calculation. Unit=eV
:Desc_BAND_NUM: Number of bands included in the calculation
:Desc_KPT_NUM: Number of k-points used in the calculation
:Desc_ATOM_TYPE_NUM: Number of atom types in the system
:Desc_TOT_ORBITALS: Total number of atomic orbitals
:Desc_PROJ_ORBITALS: Total number of projected orbitals
:Desc_VOLUME: Lattice unit cell volume. Unit=Bohr^3
:Desc_CALCULATION_TIME: Total calculation time. Unit=seconds
:Desc_M_INDEX_SUMMED_OVER: Whether the m index is summed over 
:Desc_ORTHOGONALIZE_ATOMIC_ORBITALS: Whether the atomic orbitals are orthogonalized
:Desc_ATOM_INDEX_FOR_PDOS: The index of the atom for which the PDOS is calculated
:Desc_PDOS_INFO: The information of the PDOS
    :Desc_ATOM_TYPE: The type of the atom
    :Desc_ATOMIC_NUMBER: The atomic number of the atom
    :Desc_ATOM_INDEX: The index of the atom
    :Desc_ATOM_POSITION_CARTESIAN: The position of the atom in Cartesian coordinates
    :Desc_ATOM_POSITION_FRACTIONAL: The fractional position of the atom
    :Desc_PDOS_UNIT: The unit of the PDOS value
    :Desc_HEADER_FORMAT: The format of the header


:BASIC_INFO:
:FERMI_LEVEL: 4.562
:BROADENING: 0.272
:GRID_POINTS: 1000
:MIN_E: -8.355
:MAX_E: 16.672
:BAND_NUM: 12
:KPT_NUM: 4
:ATOM_TYPE_NUM: 1
:TOT_ORBITALS: 8
:PROJ_ORBITALS: 8
:VOLUME: 298.311
:CALCULATION_TIME: 0.673
:M_INDEX_SUMMED_OVER: False
:ORTHOGONALIZE_ATOMIC_ORBITALS: False
:ATOM_INDEX_FOR_PDOS: All



:PDOS_INFO:
    :ATOM_TYPE: Si
    :ATOMIC_NUMBER: 14
    :ATOM_INDEX: 0
    :ATOM_POSITION_CARTESIAN: [0. 0. 0.]
    :ATOM_POSITION_FRACTIONAL: [0. 0. 0.]
    :PDOS_UNIT: states/eV
    :HEADER_FORMAT: (nl,m)
	Energy(eV)   	(3s, m=0)    	(3p, m=-1)   	(3p, m=0)    	(3p, m=1)   
	-4.3971448851 	0.0000642040 	0.0000147640 	0.0000147640 	0.0000147639
	-4.3720925863 	0.0000359234 	0.0000082607 	0.0000082607 	0.0000082607
	-4.3470402875 	0.0000197619 	0.0000045443 	0.0000045443 	0.0000045443
	-4.3219879887 	0.0000106886 	0.0000024579 	0.0000024579 	0.0000024579
	-4.2969356899 	0.0000056839 	0.0000013070 	0.0000013070 	0.0000013070
	-4.2718833910 	0.0000029718 	0.0000006834 	0.0000006834 	0.0000006834
	-4.2468310922 	0.0000015276 	0.0000003513 	0.0000003513 	0.0000003513
	-4.2217787934 	0.0000007721 	0.0000001775 	0.0000001775 	0.0000001775
	-4.1967264946 	0.0000003837 	0.0000000882 	0.0000000882 	0.0000000882
	-4.1716741958 	0.0000001874 	0.0000000431 	0.0000000431 	0.0000000431
	-4.1466218970 	0.0000000900 	0.0000000207 	0.0000000207 	0.0000000207
	-4.1215695981 	0.0000000425 	0.0000000098 	0.0000000098 	0.0000000098
	-4.0965172993 	0.0000000197 	0.0000000045 	0.0000000045 	0.0000000045
	-4.0714650005 	0.0000000090 	0.0000000021 	0.0000000021 	0.0000000021
	-4.0464127017 	0.0000000040 	0.0000000009 	0.0000000009 	0.0000000009
	-4.0213604029 	0.0000000018 	0.0000000004 	0.0000000004 	0.0000000004
	-3.9963081040 	0.0000000008 	0.0000000002 	0.0000000002 	0.0000000002
	-3.9712558052 	0.0000000003 	0.0000000001 	0.0000000001 	0.0000000001
	-3.9462035064 	0.0000000001 	0.0000000000 	0.0000000000 	0.0000000000
	-3.9211512076 	0.0000000001 	0.0000000000 	0.0000000000 	0.0000000000
	-3.8960989088 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	-3.8710466100 	0.0000000001 	0.0000000000 	0.0000000000 	0.0000000000
	-3.8459943111 	0.0000000001 	0.0000000001 	0.0000000001 	0.0000000001
	-3.8209420123 	0.0000000003 	0.0000000002 	0.0000000002 	0.0000000002
	-3.7958897135 	0.0000000008 	0.0000000006 	0.0000000006 	0.0000000006
	-3.7708374147 	0.0000000018 	0.0000000013 	0.0000000013 	0.0000000013
	-3.7457851159 	0.0000000039 	0.0000000028 	0.0000000028 	0.0000000028
	-3.7207328171 	0.0000000086 	0.0000000062 	0.0000000062 	0.0000000062
	-3.6956805182 	0.0000000185 	0.0000000133 	0.0000000133 	0.0000000133
	-3.6706282194 	0.0000000392 	0.0000000282 	0.0000000282 	0.0000000282
	-3.6455759206 	0.0000000815 	0.0000000587 	0.0000000587 	0.0000000587
	-3.6205236218 	0.0000001669 	0.0000001202 	0.0000001202 	0.0000001202
	-3.5954713230 	0.0000003361 	0.0000002419 	0.0000002419 	0.0000002419
	-3.5704190241 	0.0000006652 	0.0000004788 	0.0000004788 	0.0000004788
	-3.5453667253 	0.0000012943 	0.0000009317 	0.0000009317 	0.0000009317
