Energy(eV)   DOS_up   DOS_down   DOS_tot
-0.2635155802 0.4042027983 0.4042052778 0.8084080762
-0.2384632814 0.4415313715 0.4415336451 0.8830650166
-0.2134109826 0.4749217804 0.4749237762 0.9498455566
-0.1883586838 0.5033398593 0.5033415248 1.0066813841
-0.1633063849 0.5261054870 0.5261067970 1.0522122840
-0.1382540861 0.5430037817 0.5430047445 1.0860085262
-0.1132017873 0.5543675078 0.5543681695 1.1087356773
-0.0881494885 0.5611189993 0.5611194446 1.1222384439
-0.0630971897 0.5647628282 0.5647631789 1.1295260070
-0.0380448909 0.5673244322 0.5673248404 1.1346492726
-0.0129925920 0.5712345700 0.5712352093 1.1424697794
0.0120597068 0.5791643868 0.5791654395 1.1583298262
0.0371120056 0.5938206329 0.5938222753 1.1876429083
0.0621643044 0.6177148537 0.6177172399 1.2354320936
0.0872166032 0.6529238411 0.6529270870 1.3058509281
0.1122689021 0.7008610628 0.7008652312 1.4017262940
0.1373212009 0.7620798683 0.7620849567 1.5241648250
0.1623734997 0.8361287654 0.8361346986 1.6722634640
0.1874257985 0.9214767001 0.9214833276 1.8429600277
0.2124780973 1.0155219010 1.0155290004 2.0310509013
0.2375303961 1.1146914909 1.1146987782 2.2293902692
0.2625826950 1.2146310218 1.2146381675 2.4292691894
0.2876349938 1.3104739921 1.3104806424 2.6209546344
0.3126872926 1.3971722373 1.3971780387 2.7943502761
0.3377395914 1.4698600447 1.4698646701 2.9397247148
0.3627918902 1.5242191977 1.5242223712 3.0484415689
0.3878441890 1.5568099987 1.5568115170 3.1136215157
0.4128964879 1.5653353060 1.5653350538 3.1306703598
0.4379487867 1.5488108307 1.5488087892 3.0976196199
0.4630010855 1.5076247534 1.5076210002 3.0152457536
0.4880533843 1.4434818881 1.4434765893 2.8869584775
0.5131056831 1.3592404771 1.3592338723 2.7184743493
0.5381579820 1.2586613986 1.2586537808 2.5173151794
0.5632102808 1.1460984731 1.1460901653 2.2921886384
0.5882625796 1.0261634662 1.0261547977 2.0523182640
0.6133148784 0.9033998153 0.9033910995 1.8067909148
0.6383671772 0.7819952570 0.7819867729 1.5639820298
0.6634194760 0.6655562993 0.6655482783 1.3311045776
0.6884717749 0.5569581865 0.5569508044 1.1139089909
0.7135240737 0.4582741680 0.4582675427 0.9165417107
0.7385763725 0.3707789352 0.3707731287 0.7415520639
0.7636286713 0.2950141326 0.2950091581 0.5900232907
0.7886809701 0.2308995306 0.2308953605 0.4617948911
0.8137332689 0.1778718969 0.1778684729 0.3557403698
0.8387855678 0.1350345348 0.1350317780 0.2700663128
0.8638378666 0.1013032267 0.1013010466 0.2026042733
0.8888901654 0.0755381567 0.0755364584 0.1510746151
0.9139424642 0.0566554925 0.0566541828 0.1133096753
0.9389947630 0.0437160069 0.0437149975 0.0874310043
0.9640470619 0.0359909387 0.0359901487 0.0719810874
0.9890993607 0.0330069920 0.0330063481 0.0660133400
1.0141516595 0.0345729142 0.0345723505 0.0691452648
1.0392039583 0.0407896669 0.0407891235 0.0815787904
1.0642562571 0.0520450882 0.0520445104 0.1040895987
1.0893085559 0.0689925650 0.0689919016 0.1379844666
1.1143608548 0.0925119851 0.0925111879 0.1850231730
1.1394131536 0.1236505638 0.1236495879 0.2473001516
1.1644654524 0.1635413492 0.1635401535 0.3270815027
1.1895177512 0.2132985394 0.2132970884 0.4265956278
1.2145700500 0.2738912236 0.2738894901 0.5477807137
1.2396223488 0.3460006177 0.3459985855 0.6919992031
1.2646746477 0.4298698927 0.4298675603 0.8597374530
1.2897269465 0.5251596799 0.5251570635 1.0503167434
1.3147792453 0.6308255026 0.6308226384 1.2616481409
1.3398315441 0.7450349414 0.7450318871 1.4900668285
1.3648838429 0.8651415917 0.8651384259 1.7302800175
1.3899361418 0.9877294045 0.9877262249 1.9754556294
1.4149884406 1.1087348263 1.1087317450 2.2174665713
1.4400407394 1.2236457487 1.2236428863 2.4472886350
1.4650930382 1.3277666498 1.3277641280 2.6555307777
1.4901453370 1.4165297977 1.4165277304 2.8330575281
1.5151976358 1.4858245303 1.4858230156 2.9716475459
1.5402499347 1.5323118432 1.5323109552 3.0646227984
1.5653022335 1.5536908397 1.5536906228 3.1073814624
1.5903545323 1.5488874452 1.5488879103 3.0977753555
1.6154068311 1.5181438295 1.5181449533 3.0362887828
1.6404591299 1.4629981661 1.4629998927 2.9259980588
1.6655114287 1.3861570820 1.3861593276 2.7723164096
1.6905637276 1.2912755206 1.2912781806 2.5825537012
